destination,cabin_type,activity_interests_cultural,activity_interests_nature_outdoors,activity_interests_entertainment,activity_interests_shopping,activity_interests_recreation,activity_interests_nightlife,hotel_preferences,food_preferences_asian,food_preferences_european,food_preferences_american_latin,food_preferences_middle_eastern,food_preferences_african,food_preferences_caribbean,food_preferences_local_cuisine
2,2,0,1,0,1,1,0,3,1,0,0,1,0,1,1
3,2,0,0,1,1,0,0,3,0,0,0,0,0,1,1
3,4,1,0,0,0,0,1,3,1,0,0,1,1,0,0
5,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0
4,2,1,1,1,0,0,0,1,0,1,1,0,0,0,0
3,2,0,0,1,1,1,1,3,0,0,1,1,0,0,1
2,2,1,1,0,0,1,1,2,0,0,1,1,0,0,0
2,3,0,1,0,0,0,1,3,1,0,1,1,0,1,1
3,3,1,0,0,1,1,1,2,0,0,0,1,1,1,1
4,4,0,0,1,0,0,0,2,0,1,0,1,0,0,0
2,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0
5,4,1,1,1,0,1,1,3,1,0,0,1,0,0,0
2,1,1,0,1,1,0,0,3,1,0,0,1,0,0,0
1,3,1,1,0,1,0,1,1,0,0,1,0,1,0,0
1,3,1,1,1,1,1,1,2,1,1,0,0,0,1,0
4,3,0,0,0,1,0,0,1,1,0,1,0,0,0,1
3,4,1,0,0,1,0,1,1,0,1,1,1,1,1,1
4,2,1,1,0,1,0,0,3,1,0,1,0,1,0,1
4,2,1,1,0,1,0,0,1,1,0,1,1,1,1,0
4,3,0,1,0,0,1,0,3,1,1,0,1,0,1,1
4,2,1,0,1,0,1,0,2,1,0,1,0,0,1,1
5,2,0,1,1,1,1,1,3,0,1,1,0,1,1,1
5,4,1,0,1,0,0,0,1,1,1,1,1,1,1,1
2,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1
1,3,0,1,0,1,1,1,3,0,1,0,1,1,0,0
4,3,1,0,0,0,0,1,3,1,1,0,0,1,1,0
2,4,0,1,1,0,0,1,1,0,1,1,0,1,0,1
1,4,0,0,0,0,0,0,2,1,1,1,0,0,1,1
3,2,1,0,1,0,0,0,2,0,1,0,1,0,1,1
5,3,0,1,1,0,1,1,3,0,1,1,0,0,0,0
1,1,1,0,0,1,1,1,2,0,1,0,1,1,1,0
3,4,1,0,0,1,1,0,1,0,1,0,1,1,0,1
1,1,0,1,1,1,0,1,3,1,0,1,1,1,0,0
5,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0
5,3,0,0,1,1,1,1,1,1,1,1,0,1,0,1
2,3,0,0,0,0,0,0,2,0,0,1,1,1,1,0
4,4,1,1,0,0,0,1,3,0,1,0,1,0,1,0
1,3,1,0,1,0,1,1,3,0,1,0,0,0,0,1
1,3,0,1,0,0,1,0,2,1,0,0,1,1,1,0
3,3,1,1,1,1,1,1,1,0,1,0,0,0,1,0
5,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1
1,4,1,0,1,0,0,0,1,1,1,1,0,0,1,0
5,2,1,0,1,1,1,1,1,1,1,0,1,1,0,0
1,1,0,1,0,0,1,0,3,1,0,0,0,1,0,1
2,3,0,0,1,1,0,0,3,1,1,0,1,0,1,1
4,1,1,0,0,1,1,1,2,1,1,1,1,0,1,1
