destination,cabin_type,activity_interests_cultural,activity_interests_nature_outdoors,activity_interests_entertainment,activity_interests_shopping,activity_interests_recreation,activity_interests_nightlife,hotel_preferences,food_preferences_asian,food_preferences_european,food_preferences_american_latin,food_preferences_middle_eastern,food_preferences_african,food_preferences_caribbean,food_preferences_local_cuisine,user_id
10,2,0,0,0,1,0,1,1,0,0,0,0,1,1,1,170
4,4,1,1,0,1,0,1,2,0,1,0,1,0,1,0,115
7,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,139
2,2,1,1,1,0,1,1,3,0,0,0,0,0,0,1,113
7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,166
7,4,1,0,0,0,0,1,3,0,0,0,0,0,0,0,165
2,4,0,1,1,1,1,1,3,0,0,0,0,0,0,0,53
9,4,0,0,0,1,0,0,2,0,0,0,0,0,0,0,145
4,2,1,1,0,1,0,1,2,0,1,0,1,0,1,0,34
7,4,1,0,0,0,0,0,2,0,0,0,0,0,1,0,66
4,2,0,1,0,1,0,1,3,0,1,0,1,0,1,1,94
7,4,0,0,0,0,0,0,3,0,0,0,0,0,1,0,55
6,4,0,1,0,1,0,1,1,0,1,0,1,0,1,0,77
1,4,1,1,1,1,1,1,1,0,0,1,0,0,0,1,48
4,4,0,1,0,1,0,1,2,0,1,0,1,0,0,0,176
4,3,0,1,0,1,0,1,3,0,0,0,1,1,1,0,51
1,3,0,1,1,1,1,1,3,0,0,0,0,0,1,0,53
5,3,0,1,0,1,0,1,1,0,1,0,1,0,1,0,77
9,3,0,0,0,0,1,1,3,1,0,1,1,0,0,1,121
10,2,0,1,0,0,0,0,3,0,0,0,0,0,0,0,4
1,4,1,1,1,0,1,1,3,0,0,0,0,0,0,0,95
9,2,1,0,0,0,0,0,3,0,0,1,0,0,0,0,64
10,2,0,0,1,0,0,1,1,0,1,1,0,0,0,0,45
6,4,0,0,0,1,0,1,3,0,1,0,1,1,1,1,191
10,4,0,0,0,0,0,0,2,0,1,1,0,0,0,0,137
2,1,1,1,1,1,1,1,3,0,0,0,0,0,0,0,12
6,4,0,1,0,1,0,1,3,0,1,0,1,0,1,0,74
3,3,1,1,1,1,1,0,1,1,1,1,1,0,1,1,187
2,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,193
5,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,118
3,4,1,1,1,1,1,0,2,1,1,1,0,1,1,1,187
3,2,0,1,1,1,0,0,1,1,1,1,0,1,1,1,152
1,1,1,1,1,1,1,1,2,0,0,0,0,0,1,0,38
4,1,0,0,1,1,0,1,3,1,1,0,1,1,1,0,109
6,4,0,0,0,1,0,1,3,0,1,0,1,0,1,0,57
3,1,1,1,1,1,1,1,3,1,1,1,1,0,1,1,134
8,4,0,0,0,0,0,0,2,0,0,1,0,0,0,0,137
7,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,30
6,4,0,1,0,0,0,1,1,0,1,0,1,0,1,0,77
3,4,1,1,1,1,1,1,3,1,1,1,1,0,0,1,126
4,1,0,1,0,0,0,0,2,0,1,0,1,0,1,0,177
10,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,27
2,3,1,1,1,1,1,0,2,0,0,1,0,0,1,0,164
1,2,1,0,0,1,1,1,2,0,0,1,1,0,0,0,61
8,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,142
2,4,1,1,1,1,1,1,3,0,0,0,0,0,0,0,25
5,3,0,1,0,1,0,1,1,0,0,0,1,0,1,0,77
1,1,1,0,1,1,1,0,2,0,0,0,0,0,1,1,113
1,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,98
8,1,1,0,0,0,1,0,3,1,0,0,0,0,1,0,163
8,4,1,1,0,0,0,0,2,1,0,0,0,0,0,0,146
1,2,1,1,1,1,1,1,2,0,0,0,0,0,0,0,12
7,4,1,0,0,0,0,0,3,0,0,0,0,1,0,0,139
5,4,0,1,0,1,0,1,2,1,1,0,1,0,1,0,133
4,2,0,1,0,1,1,1,3,0,1,0,1,0,1,0,81
9,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,19
7,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1,69
9,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,36
6,3,0,1,0,1,0,1,3,0,1,1,1,0,1,0,89
5,4,0,1,0,1,1,0,2,0,1,0,1,0,1,0,186
8,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,16
5,4,1,1,1,1,0,1,3,0,1,0,1,0,1,0,115
8,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,110
6,2,0,1,0,1,0,1,2,0,1,0,1,0,1,0,26
10,4,0,0,0,0,1,0,1,0,0,0,0,1,0,0,84
9,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,63
5,1,1,1,0,1,0,1,3,0,1,0,1,0,1,1,94
8,3,0,1,0,0,0,0,1,1,0,1,0,0,0,0,33
4,1,0,1,0,1,0,1,2,0,1,1,1,0,1,0,172
8,1,0,1,0,0,0,0,3,0,1,0,0,0,0,0,19
7,4,1,0,0,0,0,0,3,0,0,0,0,0,0,1,22
5,4,0,1,0,1,0,1,1,0,1,0,1,1,1,0,17
7,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,123
6,1,0,1,0,1,0,1,3,0,1,0,1,0,1,1,94
4,3,0,1,0,1,0,1,3,1,1,0,0,0,1,0,133
4,2,1,1,0,1,1,1,1,0,1,0,0,1,0,0,127
8,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,22
2,1,1,1,1,1,1,1,3,0,0,0,0,0,1,0,38
3,1,0,1,1,1,1,1,3,1,1,0,1,1,1,1,15
9,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,160
4,2,0,0,0,1,0,1,1,0,0,0,1,0,1,0,75
4,3,0,1,0,1,0,1,3,1,1,0,1,0,1,0,133
8,3,0,0,0,0,0,1,3,1,0,1,0,0,0,0,121
8,4,0,0,0,0,0,0,3,0,0,0,0,0,0,1,69
9,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,123
