timestamp,user_id,destination,departure_date,return_date,user_feedback,travel_plan
20250402_154542,unknown,Boston (BOS),,,,"{""destination"": ""Boston (BOS)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""250.03"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 0, ""segments"": [{""carrier"": ""F9"", ""flight_number"": ""2022"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T22:45:00""}, ""arrival"": {""airport"": ""PHL"", ""time"": ""2025-04-17T00:18:00""}}, {""carrier"": ""F9"", ""flight_number"": ""2168"", ""departure"": {""airport"": ""PHL"", ""time"": ""2025-04-17T06:00:00""}, ""arrival"": {""airport"": ""BOS"", ""time"": ""2025-04-17T07:25:00""}}, {""carrier"": ""F9"", ""flight_number"": ""3011"", ""departure"": {""airport"": ""BOS"", ""time"": ""2025-04-19T12:48:00""}, ""arrival"": {""airport"": ""PHL"", ""time"": ""2025-04-19T14:20:00""}}, {""carrier"": ""F9"", ""flight_number"": ""2021"", ""departure"": {""airport"": ""PHL"", ""time"": ""2025-04-19T15:15:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-19T17:04:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_161236,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_163007,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_163031,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_163653,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_163822,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_163949,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_164048,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_164215,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
20250402_164728,unknown,Shanghai (PVG),,,,"{""destination"": ""Shanghai (PVG)"", ""departure_date"": """", ""return_date"": """", ""flight"": {""flight_index"": 0, ""price"": ""1395.81"", ""currency"": ""USD"", ""cabin"": ""ECONOMY"", ""baggage"": 1, ""segments"": [{""carrier"": ""UA"", ""flight_number"": ""1116"", ""departure"": {""airport"": ""DTW"", ""time"": ""2025-04-16T07:16:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-16T09:38:00""}}, {""carrier"": ""UA"", ""flight_number"": ""857"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-16T10:55:00""}, ""arrival"": {""airport"": ""PVG"", ""time"": ""2025-04-17T15:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""858"", ""departure"": {""airport"": ""PVG"", ""time"": ""2025-04-23T12:10:00""}, ""arrival"": {""airport"": ""SFO"", ""time"": ""2025-04-23T08:25:00""}}, {""carrier"": ""UA"", ""flight_number"": ""1612"", ""departure"": {""airport"": ""SFO"", ""time"": ""2025-04-23T10:42:00""}, ""arrival"": {""airport"": ""ORD"", ""time"": ""2025-04-23T17:10:00""}}, {""carrier"": ""UA"", ""flight_number"": ""4773"", ""departure"": {""airport"": ""ORD"", ""time"": ""2025-04-23T19:45:00""}, ""arrival"": {""airport"": ""DTW"", ""time"": ""2025-04-23T22:17:00""}}]}, ""detailed_plan"": {""activities"": [""Visit attractions"", ""Try local food"", ""Shopping""], ""accommodation"": ""Comfortable hotel"", ""transportation"": ""Taxi and public transit""}}"
